14052017|070000|-1316|16236|-1460N
14052017|070002|-1200|14688|-844N
14052017|070004|4712|15488|-1260N
14052017|070006|928|16172|-1680N
14052017|070008|-3196|15048|-5728N
14052017|070010|-6380|19872|2632N
14052017|070012|3864|15892|-732N
14052017|070014|-5812|8284|14620N
14052017|070016|-164|16532|1184N
14052017|070018|2644|22028|-920N
14052017|070020|10648|16608|17624N
14052017|070022|-4644|16052|-1144N
14052017|070024|-6332|9780|12212N
14052017|070026|-7500|8304|13060N
14052017|070028|-1108|16284|-1384N
14052017|070030|-6412|-880|9696N
14052017|070032|-10364|14672|-1236N
14052017|070034|-6316|8728|11532N
14052017|070036|-6356|16164|3912N
14052017|070038|2928|15772|-1168N
14052017|070040|2676|24356|-7252N
14052017|070042|768|16448|996N
14052017|070044|-3268|14400|-6824N
14052017|070046|3160|15540|-1184N
14052017|070048|192|15736|1772N
14052017|070050|-9700|12552|1804N
14052017|070052|-2176|-6312|15892N
14052017|070054|-936|16396|-1404N
14052017|070056|-3004|-424|-2236N
14052017|070058|-164|16532|1184N
14052017|070100|2456|16452|564N
14052017|070102|-2264|15440|-2552N
14052017|070104|-752|13464|-1576N
14052017|070106|4516|15764|-248N
14052017|070108|-3200|340|9732N
14052017|070110|3912|15348|-4012N
14052017|070112|-3580|12688|-6168N
14052017|070114|-752|13464|-1576N
14052017|070116|4684|15156|-2876N
14052017|070118|308|15180|-5324N
14052017|070120|2544|16052|-816N
14052017|070122|-900|20092|-1112N
14052017|070124|2380|16156|-1004N
14052017|070126|-852|16028|-996N
14052017|070128|-2892|12932|-1616N
14052017|070130|-3460|14640|-4848N
14052017|070132|3744|16164|-192N
14052017|070134|972|16276|-144N
14052017|070136|-5780|4236|9072N
14052017|070138|-740|16092|-1644N
14052017|070140|-8812|14724|416N
14052017|070142|-984|16372|-1268N
14052017|070144|2124|19476|-1352N
14052017|070146|15968|-5004|27164N
14052017|070148|972|16276|-144N
14052017|070150|-5880|14176|10376N
14052017|070152|-6832|6572|13772N
14052017|070154|1996|16916|2032N
14052017|070156|-2276|16152|-1456N
14052017|070158|-8020|8644|12084N
14052017|070200|-5964|6348|15404N
14052017|070202|-6832|6572|13772N
14052017|070204|9100|-21392|10404N
14052017|070206|1404|16072|1396N
14052017|070208|-1976|13452|1640N
14052017|070210|2148|15936|2200N
14052017|070212|-5084|18164|10100N
14052017|070214|2236|15988|-932N
14052017|070216|-548|16504|-1812N
14052017|070218|-5588|8176|13592N
14052017|070220|3864|15892|-732N
14052017|070222|-17848|30704|-17312N
14052017|070224|-5056|9232|12856N
14052017|070226|1924|7472|2256N
14052017|070228|4652|15348|-3224N
14052017|070230|-1668|15764|-1868N
14052017|070232|-5328|5552|11924N
14052017|070234|1432|16568|-468N
14052017|070236|-6356|16164|3912N
14052017|070238|1540|16240|-2016N
14052017|070240|308|15180|-5324N
14052017|070242|3572|15844|-552N
14052017|070244|-748|14300|-6640N
14052017|070246|-6796|8620|12656N
14052017|070248|-32|15724|-880N
14052017|070250|-4856|7076|13452N
14052017|070252|2124|19476|-1352N
14052017|070254|-5588|8176|13592N
14052017|070256|-416|15796|-4588N
14052017|070258|-2892|12932|-1616N
14052017|070300|2380|16156|-1004N
14052017|070302|1380|15148|-3524N
14052017|070304|-6412|-880|9696N
14052017|070306|-2436|14396|-6796N
14052017|070308|5060|15060|-1304N
14052017|070310|-3068|15368|2704N
14052017|070312|-6184|8924|11884N
14052017|070314|-6460|9456|10624N
14052017|070316|2456|16452|564N
14052017|070318|-3012|-16252|31672N
14052017|070320|-5852|7780|13272N
14052017|070322|-416|15796|-4588N
14052017|070324|3968|16064|-280N
14052017|070326|-2176|-6312|15892N
14052017|070328|4456|15348|2572N
14052017|070330|-6320|7984|12844N
14052017|070332|-780|15916|752N
14052017|070334|-5368|7056|13644N
14052017|070336|-6112|8420|12348N
14052017|070338|-4172|14156|-7640N
14052017|070340|-6412|-880|9696N
14052017|070342|2088|16672|-1012N
14052017|070344|3148|15732|-488N
14052017|070346|2788|-1052|-4952N
14052017|070348|-3180|15144|-6220N
14052017|070350|-4268|15012|-7280N
14052017|070352|972|16276|-144N
14052017|070354|972|16276|-144N
14052017|070356|928|16172|-1680N
14052017|070358|-6244|9464|11636N
14052017|070400|-1924|16004|368N
14052017|070402|1764|15184|-7248N
14052017|070404|-3580|12688|-6168N
14052017|070406|-5020|7868|13196N
14052017|070408|-112|16500|-420N
14052017|070410|3744|16164|-192N
14052017|070412|-7208|6912|13600N
14052017|070414|320|15884|-1676N
14052017|070416|1636|14780|-2740N
14052017|070418|3888|15444|-2092N
14052017|070420|-8188|24512|2620N
14052017|070422|-6244|9464|12016N
14052017|070424|1764|15184|-7248N
14052017|070426|2780|16288|-2064N
14052017|070428|3172|15640|-868N
14052017|070430|1916|16500|-864N
14052017|070432|2544|16052|-816N
14052017|070434|920|8060|-252N
14052017|070436|-800|-1032|-1868N
14052017|070438|-740|16092|-1644N
14052017|070440|9100|-21392|10404N
14052017|070442|-660|13636|-14752N
14052017|070444|1872|16568|-560N
14052017|070446|-6380|19872|2632N
14052017|070448|768|16448|996N
14052017|070450|-936|16396|-1404N
14052017|070452|1916|16500|-864N
14052017|070454|2644|22028|-920N
14052017|070456|-6832|6572|13772N
14052017|070458|-3496|15572|-4344N
14052017|070500|1924|7472|2256N
14052017|070502|-5728|6192|12224N
14052017|070504|-900|20092|-1112N
14052017|070506|-6484|8840|11552N
14052017|070508|-5728|6192|12224N
14052017|070510|4836|15480|-1288N
14052017|070512|2676|24356|-7252N
