08112016|182325|-388|11932|13476N
08112016|182327|-1936|3900|13496N
08112016|182329|-6308|5312|13236N
08112016|182331|-4848|8960|11308N
08112016|182333|-5416|10220|12936N
08112016|182335|-2544|12632|10796N
08112016|182337|1532|11852|10852N
08112016|182339|1664|11128|12024N
08112016|182341|392|11144|11620N
08112016|182343|1532|12052|10144N
08112016|182345|-200|11216|11592N
08112016|182347|-2388|7836|13420N
08112016|182349|1360|9872|16684N
08112016|182351|4016|6040|14452N
08112016|182353|4432|8348|13384N
08112016|182356|-128|1980|16144N
08112016|182358|-1044|1164|15716N
08112016|182400|-1096|1176|16036N
08112016|182402|-1212|1220|15944N
08112016|182404|-524|1548|16064N
08112016|182406|-988|1184|16044N
08112016|182408|-1396|1276|16092N
08112016|182410|-1472|936|15888N
08112016|182412|180|-5820|14696N
08112016|182414|-252|-5860|12216N
08112016|182416|3816|-5148|14596N
08112016|182418|15472|-7436|-2356N
08112016|182420|-900|-6364|-14052N
08112016|182422|-1728|2524|17408N
08112016|182424|1656|944|-16072N
08112016|182426|-2888|-36|-16820N
08112016|182428|3992|-5456|11304N
08112016|182430|184|-5388|14640N
08112016|182432|420|-5104|15312N
08112016|182434|-48|-11572|11776N
08112016|182436|1876|-328|14496N
08112016|182438|-5080|-32|14236N
08112016|182440|1788|-4900|14024N
08112016|182442|2580|-13568|11280N
08112016|182444|4484|-3388|16732N
08112016|182446|-4536|-8048|11712N
08112016|182448|7944|-9540|-12264N
08112016|182450|-8060|-9248|-32536N
08112016|182452|40|-5924|13528N
08112016|182454|5596|-11756|12740N
08112016|182456|200|1632|15804N
08112016|182458|284|1748|16008N
08112016|182500|236|1720|15944N
08112016|182502|232|1756|15760N
08112016|182504|280|1764|15992N
08112016|182506|208|1604|15940N
08112016|182508|172|1740|15804N
08112016|182510|140|1788|15940N
08112016|182512|220|1684|15872N
08112016|182514|28|1932|15624N
08112016|182516|236|1620|15924N
08112016|182518|288|1604|15672N
08112016|182520|240|1740|15808N
08112016|182523|284|1724|15852N
08112016|182525|1000|2068|15900N
08112016|182527|288|1748|15888N
08112016|182529|164|1764|15880N
08112016|182531|1460|2436|17284N
08112016|182533|-576|1964|15948N
08112016|182535|-948|1952|15560N
